Date,USDTRY,WACF_RATE,CPI_INDEX,CPI_YOY,USDTRY_CHG_1M
2016-02-04,2.9524,9.68,274.44,9.578758235176688,1.175422363866896
2016-02-05,2.9478,9.68,274.44,9.578758235176688,0.1903337638501812
2016-02-08,2.9044,9.82,274.44,9.578758235176688,-2.373109243697491
2016-02-09,2.9051,9.82,274.44,9.578758235176688,-3.2922769640479355
2016-02-10,2.9295,9.82,274.44,9.578758235176688,-2.8905757947426003
2016-02-11,2.9471,9.82,274.44,9.578758235176688,-1.3556031597268814
2016-02-12,2.9239,9.82,274.44,9.578758235176688,-3.143633231747711
2016-02-15,2.9287,9.87,274.44,9.578758235176688,-3.41336323461513
2016-02-16,2.9228,9.87,274.44,9.578758235176688,-3.019443891432738
2016-02-17,2.9441,9.87,274.44,9.578758235176688,-2.7483235886763713
2016-02-18,2.9517,9.87,274.44,9.578758235176688,-2.7830841183057675
2016-02-19,2.9639,9.87,274.44,9.578758235176688,-2.397339216913097
2016-02-22,2.9606,10.02,274.44,9.578758235176688,-2.1062725258737647
2016-02-23,2.9658,10.02,274.44,9.578758235176688,-2.399052226280962
2016-02-24,2.9449,10.02,274.44,9.578758235176688,-2.1855382469193163
2016-02-25,2.9358,10.02,274.44,9.578758235176688,-2.455394225338081
2016-02-26,2.9386,10.02,274.44,9.578758235176688,-2.721133474576265
2016-02-29,2.9295,10.01,274.44,9.578758235176688,-2.278337447461465
2016-03-01,2.9293,10.01,274.38,8.777354900095148,-1.661742983751846
2016-03-02,2.9612,10.01,274.38,8.777354900095148,0.01013205444289067
2016-03-03,2.9451,10.01,274.38,8.777354900095148,-0.7414647298709109
2016-03-04,2.9372,10.01,274.38,8.777354900095148,-0.5148353881587853
2016-03-07,2.9215,9.95,274.38,8.777354900095148,-0.8921907863491452
2016-03-08,2.9147,9.95,274.38,8.777354900095148,0.3546343478859626
2016-03-09,2.9201,9.95,274.38,8.777354900095148,0.516333344807407
2016-03-10,2.9201,9.95,274.38,8.777354900095148,-0.3208738692609625
2016-03-11,2.9081,9.95,274.38,8.777354900095148,-1.3233348037053227
2016-03-14,2.8875,10.04,274.38,8.777354900095148,-1.2449126167105584
2016-03-15,2.8734,10.04,274.38,8.777354900095148,-1.8882097859118319
2016-03-16,2.8796,10.04,274.38,8.777354900095148,-1.4780347611879074
2016-03-17,2.8852,10.04,274.38,8.777354900095148,-2.000611392276075
2016-03-18,2.9084,10.04,274.38,8.777354900095148,-1.4669512484331126
2016-03-21,2.8558,9.99,274.38,8.777354900095148,-3.6472215661797036
2016-03-22,2.8554,9.99,274.38,8.777354900095148,-3.5533337836924916
2016-03-23,2.8695,9.99,274.38,8.777354900095148,-3.2470159821970546
2016-03-24,2.8723,9.99,274.38,8.777354900095148,-2.465278956840644
2016-03-25,2.8693,9.99,274.38,8.777354900095148,-2.2651406771578397
2016-03-28,2.8789,10.06,274.38,8.777354900095148,-2.0315796637854877
2016-03-29,2.8705,10.06,274.38,8.777354900095148,-2.0139955623826644
2016-03-30,2.8733,10.06,274.38,8.777354900095148,-1.91171952343564
2016-03-31,2.8695,10.06,274.38,8.777354900095148,-3.0967175469404307
2016-04-01,2.8334,10.06,274.27,7.4599380950515215,-3.7927404841940793
2016-04-04,2.8249,9.96,274.27,7.4599380950515215,-3.823369195151838
2016-04-05,2.8197,9.96,274.27,7.4599380950515215,-3.484511381139821
2016-04-06,2.8189,9.96,274.27,7.4599380950515215,-3.28678766253816
2016-04-07,2.8277,9.96,274.27,7.4599380950515215,-3.164275196054933
2016-04-08,2.8412,9.96,274.27,7.4599380950515215,-2.701962261566382
2016-04-11,2.8428,9.94,274.27,7.4599380950515215,-2.2454523572091767
2016-04-12,2.8569,9.94,274.27,7.4599380950515215,-1.0597402597402605
2016-04-13,2.8338,9.94,274.27,7.4599380950515215,-1.3781582793902736
2016-04-14,2.827,9.94,274.27,7.4599380950515215,-1.826642589248506
2016-04-15,2.8482,9.94,274.27,7.4599380950515215,-1.282406765562194
2016-04-18,2.8591,9.94,274.27,7.4599380950515215,-1.6950900838949123
2016-04-19,2.8545,9.94,274.27,7.4599380950515215,-0.04552139505568098
2016-04-20,2.8519,9.94,274.27,7.4599380950515215,-0.12257477061006217
2016-04-21,2.8329,9.94,274.27,7.4599380950515215,-1.2754835337166703
2016-04-22,2.8276,9.94,274.27,7.4599380950515215,-1.5562441249173165
2016-04-25,2.821,9.82,274.27,7.4599380950515215,-1.683337399365692
2016-04-26,2.8287,9.82,274.27,7.4599380950515215,-1.7437215603181677
2016-04-27,2.8457,9.82,274.27,7.4599380950515215,-0.8639609824072414
2016-04-28,2.8345,9.82,274.27,7.4599380950515215,-1.350363693314316
2016-04-29,2.8175,9.82,274.27,7.4599380950515215,-1.812162397630246
2016-05-02,2.815,9.69,276.42,6.56540344654768,-0.6493964847886002
2016-05-03,2.8014,9.69,276.42,6.56540344654768,-0.8318878544373187
2016-05-04,2.7928,9.69,276.42,6.56540344654768,-0.9540021988154734
2016-05-05,2.8065,9.69,276.42,6.56540344654768,-0.43988789953527396
2016-05-06,2.859,9.69,276.42,6.56540344654768,1.1069066732680266
2016-05-09,2.9201,9.7,276.42,6.56540344654768,2.776995635646906
2016-05-10,2.9197,9.7,276.42,6.56540344654768,2.7050794990854055
2016-05-11,2.9229,9.7,276.42,6.56540344654768,2.310196366691164
2016-05-12,2.938,9.7,276.42,6.56540344654768,3.6770414284706066
2016-05-13,2.9623,9.7,276.42,6.56540344654768,4.785992217898838
2016-05-16,2.9489,9.74,276.42,6.56540344654768,3.5355663225897116
2016-05-17,2.9587,9.74,276.42,6.56540344654768,3.4836137245986443
2016-05-18,2.9711,9.74,276.42,6.56540344654768,4.084778420038537
2016-05-20,2.9645,9.74,276.42,6.56540344654768,3.9482450296293603
2016-05-23,2.9777,9.74,276.42,6.56540344654768,5.111369974231361
2016-05-24,2.9768,9.74,276.42,6.56540344654768,5.276559626538413
2016-05-25,2.9826,9.74,276.42,6.56540344654768,5.728465083303802
2016-05-26,2.9821,9.74,276.42,6.56540344654768,5.422985823876703
2016-05-27,2.9426,9.74,276.42,6.56540344654768,3.4051375759918567
2016-05-30,2.9349,9.57,276.42,6.56540344654768,3.542070911977424
2016-05-31,2.9399,9.57,276.42,6.56540344654768,4.344276841171268
2016-06-01,2.956,9.57,278.02,6.582327007858901,5.008880994671405
2016-06-02,2.9515,9.57,278.02,6.582327007858901,5.35803526808023
2016-06-03,2.9489,9.57,278.02,6.582327007858901,5.589372672586657
2016-06-06,2.9393,9.5,278.02,6.582327007858901,4.731872438980922
2016-06-07,2.9462,9.5,278.02,6.582327007858901,3.050017488632384
2016-06-08,2.908,9.5,278.02,6.582327007858901,-0.41436937091196
2016-06-09,2.8978,9.5,278.02,6.582327007858901,-0.750077062711918
