Risk Aversion,Sharpe,Excess Sharpe,Ann. Return (%),Ann. Vol (%),Total Return (%),Max Drawdown (%),Calmar
1.0,2.03,0.3019999999999998,61.98,30.53,6361.83,-32.5,1.907
2.0,2.031,0.30300000000000016,61.9,30.48,6334.81,-32.2,1.922
2.5,2.041,0.31299999999999994,62.14,30.45,6419.84,-31.92,1.947
3.0,2.057,0.32899999999999996,62.57,30.42,6568.27,-31.73,1.972
3.5,2.063,0.3350000000000002,62.68,30.39,6609.0,-31.6,1.984
4.0,2.061,0.33299999999999996,62.53,30.34,6556.67,-31.5,1.985
4.5,2.057,0.32899999999999996,62.32,30.3,6481.63,-31.42,1.983
5.0,2.05,0.32199999999999984,62.0,30.25,6371.23,-31.36,1.977
6.0,2.03,0.3019999999999998,61.21,30.16,6103.56,-31.27,1.958
7.0,2.013,0.2849999999999999,60.5,30.05,5869.18,-31.2,1.939
