max_weight,lookback,sharpe,bench_sharpe,excess_sharpe
0.15,126,1.808,1.728,0.08000000000000007
0.15,189,1.836,1.728,0.1080000000000001
0.15,252,1.867,1.728,0.139
0.15,378,1.799,1.728,0.07099999999999995
0.15,504,1.751,1.728,0.02299999999999991
0.2,126,1.757,1.728,0.028999999999999915
0.2,189,1.823,1.728,0.09499999999999997
0.2,252,1.992,1.728,0.264
0.2,378,1.741,1.728,0.013000000000000123
0.2,504,1.791,1.728,0.06299999999999994
0.25,126,1.731,1.728,0.0030000000000001137
0.25,189,1.842,1.728,0.1140000000000001
0.25,252,1.923,1.728,0.19500000000000006
0.25,378,1.589,1.728,-0.139
0.25,504,1.647,1.728,-0.08099999999999996
0.3,126,1.713,1.728,-0.014999999999999902
0.3,189,1.749,1.728,0.02100000000000013
0.3,252,1.854,1.728,0.1260000000000001
0.3,378,1.554,1.728,-0.17399999999999993
0.3,504,1.594,1.728,-0.1339999999999999
0.4,126,1.653,1.728,-0.07499999999999996
0.4,189,1.672,1.728,-0.05600000000000005
0.4,252,1.705,1.728,-0.02299999999999991
0.4,378,1.551,1.728,-0.17700000000000005
0.4,504,1.349,1.728,-0.379
0.5,126,1.603,1.728,-0.125
0.5,189,1.653,1.728,-0.07499999999999996
0.5,252,1.497,1.728,-0.23099999999999987
0.5,378,1.507,1.728,-0.22100000000000009
0.5,504,1.148,1.728,-0.5800000000000001
