risk_aversion,tilt_strength,sharpe,bench_sharpe,excess_sharpe
1.0,0.0,1.831,1.728,0.10299999999999998
1.0,0.1,1.805,1.728,0.07699999999999996
1.0,0.25,1.833,1.728,0.10499999999999998
1.0,0.5,1.843,1.728,0.11499999999999999
1.0,0.75,1.825,1.728,0.09699999999999998
1.0,1.0,1.778,1.728,0.050000000000000044
2.0,0.0,1.858,1.728,0.13000000000000012
2.0,0.1,1.857,1.728,0.129
2.0,0.25,1.865,1.728,0.137
2.0,0.5,1.869,1.728,0.14100000000000001
2.0,0.75,1.828,1.728,0.10000000000000009
2.0,1.0,1.774,1.728,0.04600000000000004
3.0,0.0,1.911,1.728,0.18300000000000005
3.0,0.1,1.904,1.728,0.17599999999999993
3.0,0.25,1.902,1.728,0.17399999999999993
3.0,0.5,1.895,1.728,0.16700000000000004
3.0,0.75,1.859,1.728,0.131
3.0,1.0,1.794,1.728,0.06600000000000006
5.0,0.0,1.967,1.728,0.2390000000000001
5.0,0.1,1.961,1.728,0.2330000000000001
5.0,0.25,1.953,1.728,0.2250000000000001
5.0,0.5,1.923,1.728,0.19500000000000006
5.0,0.75,1.894,1.728,0.16599999999999993
5.0,1.0,1.856,1.728,0.1280000000000001
8.0,0.0,1.939,1.728,0.21100000000000008
8.0,0.1,1.929,1.728,0.20100000000000007
8.0,0.25,1.916,1.728,0.18799999999999994
8.0,0.5,1.888,1.728,0.15999999999999992
8.0,0.75,1.858,1.728,0.13000000000000012
8.0,1.0,1.823,1.728,0.09499999999999997
12.0,0.0,1.883,1.728,0.15500000000000003
12.0,0.1,1.867,1.728,0.139
12.0,0.25,1.846,1.728,0.1180000000000001
12.0,0.5,1.818,1.728,0.09000000000000008
12.0,0.75,1.792,1.728,0.06400000000000006
12.0,1.0,1.771,1.728,0.04299999999999993
