tilt_strength,sharpe,bench_sharpe,excess_sharpe,ann_return,ann_vol,total_return
0.0,1.967,1.728,0.2390000000000001,0.5333754389492996,0.3140305442435219,62.891146919166246
0.05,1.964,1.728,0.236,0.5332263904862119,0.3142727074786023,62.76659328351519
0.1,1.961,1.728,0.2330000000000001,0.532924685335698,0.3145337757702132,62.55575415435986
0.15,1.957,1.728,0.2290000000000001,0.5326837443851663,0.3147733926829032,62.38232634770135
0.2,1.956,1.728,0.22799999999999998,0.532640833362085,0.3149732346276538,62.323918412647565
0.25,1.953,1.728,0.2250000000000001,0.5323786309120847,0.3151693843972085,62.147317524363736
0.3,1.949,1.728,0.22100000000000009,0.5318782602509775,0.31529162698223845,61.85543138610523
0.35,1.946,1.728,0.21799999999999997,0.5312549761600772,0.3153568201853628,61.50883460683081
0.4,1.938,1.728,0.20999999999999996,0.529876914149669,0.31538369005551375,60.76914256701956
0.45,1.931,1.728,0.20300000000000007,0.5284418241011302,0.31540575581812363,60.009107353227655
0.5,1.923,1.728,0.19500000000000006,0.5267957041437675,0.31540500919134234,59.15304847013902
